Term,Value
threws,0.003
bigger,0.002
easily,0.002
ifs,0.004
always,0.005
wmarybeard,0.002
someone,0.001
stopped,0.005
die,0.001
ivoteleave,0.001
found,0.003
repeating,0.002
notes,0.001
ukip_egham,0.005
everyone,0.005
england,0.005
mental,0.002
weight,0.001
colder,0.002
hard,0.005
reduce,0.002
idea,0.004
offing,0.002
junkscience,0.002
gs9sfxj,0.007
slave,0.002
medievalacademy,0.004
really,0.005
travels,0.004
allectus,0.002
familybreakdown,0.002
since,0.004
7,0.006
reich,0.002
darling,0.005
ass,0.006
bye,0.005
belief,0.001
risen,0.004
disagree,0.005
story,0.005
reason,0.005
giveaway,0.005
imagine,0.015
put,0.005
beginning,0.001
benefits,0.001
hitchens,0.003
reinforces,0.002
wither,0.001
beggars,0.002
w,0.002
existential,0.006
castle,0.002
throws,0.005
jollyjack,0.002
major,0.001
dont,0.005
feel,0.005
utm_content,0.007
loveofmoney,0.002
prophesied,0.001
fearmongering,0.001
done,0.002
lhtkrn,0.002
guess,0.005
heads,0.002
leading,0.001
5th,0.002
tomlondon6,0.001
andybodle,0.006
prescient,0.004
identity,0.002
traitors,0.004
compromise,0.002
hundred,0.002
selling,0.003
storm,0.001
relationship,0.007
raeeesak,0.007
gregdjerejian,0.001
part,0.001
believe,0.004
carnage,0.003
davidjo52951945,0.01
king,0.004
kind,0.006
b,0.004
determines,0.002
youtu,0.001
nevertheless,0.001
stw,0.001
marriage,0.005
supposed,0.004
grec,0.008
toward,0.005
risky,0.002
ages,0.021
pegida,0.005
inapoi,0.005
built,0.024
mykl0,0.001
self,0.001
rtuknews,0.001
scotland,0.004
reliance,0.002
also,0.002
labour,0.004
build,0.002
donor,0.002
buff,0.002
province,0.002
quote,0.001
measures,0.004
75,0.004
70,0.001
nothing,0.002
simon_oakden,0.004
mayoroflondon,0.005
postman,0.005
cause,0.002
nexit,0.004
trobinsonnewera,0.005
engijs,0.004
wheelwrights,0.005
donkeys,0.001
latest,0.001
diverse,0.001
joining,0.001
voteremain,0.004
hyper,0.003
gold,0.002
nigel_farage,0.004
laodiceanreport,0.002
fine,0.004
find,0.001
impact,0.002
current,0.001
northern,0.005
spineless,0.004
assertion,0.002
penalty,0.002
failed,0.001
pretty,0.005
8,0.001
gills,0.002
nickstevenson63,0.003
meanwhile,0.005
garylineker,0.005
katehoeymp,0.002
feels,0.007
guyverhofstadt,0.002
savagery,0.002
frightening,0.004
huff,0.002
luton,0.006
progressive,0.005
assuming,0.002
acum,0.006
brittania,0.002
archaeologist,0.011
river,0.002
set,0.003
art,0.001
bart,0.004
pvv,0.006
uses,0.001
sex,0.005
rjspzi,0.002
culture,0.003
see,0.005
bard,0.004
crown_cardinal,0.003
lisbon,0.001
close,0.005
knees,0.002
eureferendum,0.002
expert,0.002
visiting,0.005
movie,0.002
wow,0.006
currently,0.002
please,0.005
unions,0.002
won,0.005
fancyacademic,0.001
probably,0.001
numerous,0.002
corruption,0.002
15th,0.002
mr__xyz,0.002
europe,0.02
stensted,0.005
europa,0.005
2023,0.004
1no4rxt,0.002
brilliantmaps,0.002
opposition,0.003
bronze,0.001
beckons,0.001
c,0.005
last,0.005
reverse,0.001
foreign,0.003
keir_starmer,0.009
roman,0.019
became,0.005
poverty,0.004
whole,0.002
prophecynewswatch,0.002
shortsighted,0.005
liked,0.002
uz1j309bhtw,0.002
point,0.002
reasons,0.004
narrativety,0.002
simply,0.004
likes,0.002
scottish,0.02
leaveeu,0.005
duh,0.002
decline,0.002
described,0.001
create,0.002
political,0.001
due,0.002
hoohoo,0.006
damn,0.011
change,0.005
ireland,0.004
sws,0.002
assassinated,0.002
pn,0.005
po,0.001
mercantilism,0.004
stupiddamnlibs,0.011
ivoted,0.002
jesuit,0.002
lived,0.009
gay,0.004
banislam,0.003
posttruth,0.004
modelling,0.001
else,0.002
fund,0.001
awake,0.006
enoughshows,0.001
pact,0.003
look,0.006
socialist,0.001
bill,0.004
governor,0.001
match,0.018
leaning,0.006
guide,0.002
kingdom,0.004
larger,0.003
century,0.003
witchfinders,0.006
pakistan,0.002
disappointing,0.005
awakening,0.008
gone,0.001
expulsion,0.002
italy,0.002
anymore,0.002
bagati,0.004
elevated,0.001
firearms,0.002
peoples,0.003
advise,0.004
evidence,0.002
higher,0.002
used,0.005
flooded,0.002
blair,0.001
yesterday,0.006
alert,0.001
moment,0.005
leapt,0.006
arrived,0.005
sciencewithstyle,0.002
brussels,0.001
euro,0.001
barry,0.004
older,0.001
person,0.001
edge,0.002
2go,0.005
ambassador,0.002
article50bill,0.001
mache,0.001
englishseaside1,0.002
reincarnated,0.002
useful,0.002
fantasticlife,0.002
continent,0.014
letting,0.002
cut,0.001
cuz,0.001
cue,0.002
caesar,0.002
o6236ja5fm,0.002
moralkerosene,0.005
michaelemann,0.001
excited,0.001
surprised,0.005
australia,0.002
victims,0.005
attila,0.001
big,0.025
showing,0.003
utm_source,0.005
game,0.006
bitchslap,0.002
foreigners,0.001
dvatw,0.002
bit,0.004
projects,0.002
d,0.004
multicultural,0.002
boristrump,0.002
arthur,0.002
continue,0.001
fault,0.002
eec,0.002
sketch,0.001
google,0.004
d3n8a8pro7vhmx,0.001
fucking,0.005
1st,0.002
back,0.01
strongest,0.001
civilisation,0.002
preparing,0.001
reconstituted,0.002
prox,0.005
decision,0.004
per,0.002
isles,0.001
yfdoawaaqbaj,0.005
religion,0.004
cpnsc,0.005
connecting,0.001
temple,0.002
run,0.001
bc,0.005
300,0.002
bi,0.002
step,0.005
plots,0.005
abroad,0.006
faith,0.004
anything,0.001
tracing,0.002
simulation,0.002
classics,0.001
farmers,0.002
block,0.001
goodoh,0.004
seeing,0.002
conquest,0.005
